updated_style,group,price_group,pocket_area
straight,men - straight,$150+,11222.7266
skinny,men - skinny,$150+,10841.9428
skinny,men - skinny,$50 - $99,10624.6517
straight,men - straight,$50 - $99,10134.1547
straight,men - straight,< $50,10555.3996
skinny,men - skinny,< $50,8479.8955
skinny,men - skinny,$50 - $99,12667.6559
straight,men - straight,$50 - $99,12751.06
skinny,men - skinny,$50 - $99,10399.3621
straight,men - straight,$50 - $99,10826.6762
skinny,men - skinny,$50 - $99,8934.3709
straight,men - straight,$50 - $99,11826.1026
straight,men - straight,$50 - $99,9377.6447
skinny,men - skinny,$50 - $99,9030.4098
skinny,men - skinny,$50 - $99,10704.8246
straight,men - straight,$50 - $99,11022.0396
straight,men - straight,$50 - $99,12609.9014
skinny,men - skinny,$50 - $99,8996.149
skinny,men - skinny,< $50,8129.5324
straight,men - straight,< $50,9892.5682
skinny,men - skinny,$50 - $99,12461.6415
straight,men - straight,$50 - $99,9299.9818
straight,men - straight,< $50,10532.7301
skinny,men - skinny,< $50,13102.0319
skinny,men - skinny,$50 - $99,10431.4126
straight,men - straight,$50 - $99,11591.2597
skinny,men - skinny,$50 - $99,9871.3187
straight,men - straight,$100 - $149,10957.0321
skinny,men - skinny,< $50,10511.3794
straight,men - straight,< $50,12527.1285
straight,men - straight,$50 - $99,12792.5982
skinny,men - skinny,$50 - $99,10857.7151
skinny,men - skinny,$50 - $99,11446.1056
straight,men - straight,$50 - $99,12599.1005
skinny,men - skinny,$150+,11203.1374
straight,men - straight,$150+,9625.4688
skinny,men - skinny,< $50,10783.8924
straight,men - straight,< $50,10452.4111
skinny,men - skinny,$50 - $99,13079.606
straight,men - straight,< $50,9407.0913
skinny,women - skinny,$150+,5557.2185
straight,women - straight,$150+,5811.1118
straight,women - straight,$50 - $99,8757.5784
skinny,women - skinny,$50 - $99,9688.4832
straight,women - straight,< $50,6408.5873
skinny,women - skinny,< $50,7834.5785
straight,women - straight,< $50,6510.0585
skinny,women - skinny,< $50,6875.2947
straight,women - straight,$50 - $99,6528.0599
skinny,women - skinny,$50 - $99,6470.6276
skinny,women - skinny,$50 - $99,4702.0284
straight,women - straight,$50 - $99,5626.3245
skinny,women - skinny,$50 - $99,6544.8138
straight,women - straight,$50 - $99,6496.1196
straight,women - straight,$50 - $99,4454.429
skinny,women - skinny,$50 - $99,4612.939
straight,women - straight,$50 - $99,4572.5716
skinny,women - skinny,$50 - $99,4490.844
straight,women - straight,< $50,5557.3309
skinny,women - skinny,< $50,7424.142
straight,women - straight,$100 - $149,6307.4533
skinny,women - skinny,$100 - $149,4865.7834
skinny,women - skinny,< $50,6878.1495
straight,women - straight,< $50,6236.6351
straight,women - straight,$50 - $99,5955.6778
skinny,women - skinny,$50 - $99,5412.6825
skinny,women - skinny,$50 - $99,5151.4724
straight,women - straight,$50 - $99,7178.176
skinny,women - skinny,< $50,5557.1061
straight,women - straight,< $50,5002.4894
skinny,women - skinny,$50 - $99,5318.5917
straight,women - straight,$50 - $99,5318.5917
skinny,women - skinny,$50 - $99,5481.5787
straight,women - straight,$50 - $99,7059.7973
straight,women - straight,$150+,5384.5568
skinny,women - skinny,$150+,5387.754
straight,women - straight,< $50,6704.7962
skinny,women - skinny,< $50,5253.8165
skinny,women - skinny,$50 - $99,6110.3179
straight,women - straight,$50 - $99,5936.5412
