"price","pocket_area"
199,5557.2185
159,5811.1118
78,8757.5784
88,9688.4832
39.95,6408.5873
39.95,7834.5785
42,6510.0585
42,6875.2947
89.95,6528.0599
92.95,6470.6276
79.5,4702.0284
69.5,5626.3245
79.9,6544.8138
79.9,6496.1196
69.95,4454.429
69.95,4612.939
89,4572.5716
98,4490.844
49.99,5557.3309
9.99,7424.142
125,6307.4533
110,4865.7834
19.94,6878.1495
19.94,6236.6351
54.5,5955.6778
54.5,5412.6825
99,5151.4724
79.5,7178.176
29.99,5557.1061
29.99,5002.4894
89.5,5318.5917
89.5,5318.5917
69.5,5481.5787
69.5,7059.7973
249,5384.5568
179,5387.754
39.9,6704.7962
39.9,5253.8165
99,6110.3179
99,5936.5412
